Original,,,aWhere,,,,,,,,,,,
Village_Sun_colline,Latitude.original,longtitude.original,Latitude.awhere,longtitude.awhere,lat_d,lat_m,lat_o,lat_decimal,lon_d,lon_m,lon_o,lon_decimal,,
163,2419587,28341523,2419587000,2834152300,2,41,9587000,-2.683333333,28,34,4152300,28.56666667,,
164,2506958,28474157,2506958000,2847415700,2,50,6958000,-2.833333333,28,47,7415700,28.78333333,,
165,2506886,28473999,2506886000,2847399900,2,50,6886000,-2.833333333,28,47,7399900,28.78333333,,
166,2509596,28468265,2509596000,2846826500,2,50,9596000,-2.833333333,28,46,6826500,28.76666667,,
167,2508651,28468402,2508651000,2846840200,2,50,8651000,-2.833333333,28,46,6840200,28.76666667,,
168,2500604,28449392,2500604000,2844939200,2,50,604000,-2.833333333,28,44,4939200,28.73333333,,
169,2501484,28449501,2501484000,2844950100,2,50,1484000,-2.833333333,28,44,4950100,28.73333333,,
170,2509094,28446233,2509094000,2844623300,2,50,9094000,-2.833333333,28,44,4623300,28.73333333,,
171,2506731,28447492,2506731000,2844749200,2,50,6731000,-2.833333333,28,44,4749200,28.73333333,,
172,2147319,28486391,2147319000,2848639100,2,14,7319000,-2.233333333,28,48,8639100,28.8,,
173,2147493,28486345,2147493000,2848634500,2,14,7493000,-2.233333333,28,48,8634500,28.8,,
174,2200992,28489015,2200992000,2848901500,2,20,992000,-2.333333333,28,48,8901500,28.8,,
175,2200373,28489552,2200373000,2848955200,2,20,373000,-2.333333333,28,48,8955200,28.8,,
176,2160016,28530120,2160016000,2853012000,2,16,16000,-2.266666667,28,53,3012000,28.88333333,,
177,2166420,28535846,2166420000,2853584600,2,16,6420000,-2.266666667,28,53,3584600,28.88333333,,
178,2445779,2840559,2445779000,2840559000,2,44,5779000,-2.733333333,28,40,559000,28.66666667,,
179,.,.,0,0,0,0,0,0,0,0,0,0,,
180,2450035,28402140,2450035000,2840214000,2,45,35000,-2.75,28,40,214000,28.66666667,,
181,2413231,28340579,2413231000,2834057900,2,41,3231000,-2.683333333,28,34,4057900,28.56666667,,
